Thingva Simple Automation,Thingva Simple Automation
Control pannel,Control pannel
Open editor,Open editor
Close editor,Close editor
Your sequences,Your sequences
Thingva examples,Thingva examples
Click on generate first,Click on generate first
The output code will be shown here,The output code will be shown here
Save or load blocks from your device,Save or load blocks from your device
Generate and save on the server,Generate and save on the server
Import txt sequence from your device,Import txt sequence from your device
Save blocks,Save blocks
Load blocks,Load blocks
Import from USB drive,Import from USB drive
Would you like to delete ,Would you like to delete 
File removed,File removed
Generate code,Generate code
Save seq on server,Save seq on server
seqName, Name of the seq
ERROR - Not yet implemented,ERROR - Not yet implemented
Please specify a filename. Now generate the code again and save it,Please specify a filename. Now generate the code again and save it
There is at least one empty block,There is at least one empty block
Please place blocks inside Repeat block,Please place blocks inside Repeat block
Your for loop is invalid or there is more than 2k iterations,Your for loop is invalid or there is more than 2k iterations
Please place blocks inside Count with block,Please place blocks inside Count with block